id,team_name
521,Real Murcia
522,Vasas SC
523,Grenoble B
524,M'gladbach II
525,Figueirense FC
526,Deutschlandsbg.
527,Tours FC
528,SC Westtünnen
529,Highlands Park 
530,Slovan HAC
531,Paris FC
532,Chicago Sting
533,Indep. Santa Fe
534,Knights
535,Ancona
536,PSV Amateurs
537,Chaux-de-Fonds
538,Viktoria Zizkov
539,Vojvodina
540,1.FC Köln Yth.
541,Le Havre U19
542,Beroe
543,1.FC Köln U17
544,SV Spittal/Drau
545,SV Feldkirchen
546,EC Bahia
547,Slavia Sofia
548,Lecce
549,Falkirk
550,Coritiba FC
551,LIAZ Jablonec
552,AS Livorno
553,AJ Auxerre B
554,Juventus-SP
555,Sambenedettese
556,FC Locarno
557,FC Aarau
558,CZ Jena U19
559,Guarani
560,Tottenham Res.
561,SK Beveren-Waes
562,Fremad Amager
563,Fortuna Sittard
564,BSC Young Boys
565,Spartak Trnava
566,CFKA Sredets
567,Sligo Rovers
568,FC Tirol
569,Wattens-Wacker
570,GAIS
571,MDA Chasselay
572,Cobresal
573,UD Salamanca
574,W. Mannheim
575,CDNV
576,K'lautern U19
577,Torpedo Kutaisi
578,Chievo Verona
579,Ethn. Piraeus
580,Simmering
581,SC Neusiedl/See
582,BFC Dynamo
583,Hertha BSC II
584,Spartak II
585,KRC Mechelen
586,Treviso
587,Al-Nasr
588,FC Basel U21
589,Vit. Guimarães
590,Proleter Zrenj.
591,Kuban Krasnodar
592,FK Sarajevo
593,LKS Lodz
594,AS Red Star 93
595,Tisnov
596,Tatabánya
597,Vevey Sports
598,TJ Quanjian
599,Cesena
600,Toronto
601,SKA Rostov
602,Zorya
603,APOEL Nicosia
604,Kawasaki Front.
605,Ajax Youth 
606,CSKA Moscow
607,Kalmar FF
608,Åtvidabergs FF
609,Rennes B
610,Chieti
611,Fellows ZH
612,Racing
613,Kasimpasa
614,FC Oberneuland
615,Aldershot FC
616,Kittsee
617,Go Ahead Eagles
618,Santos Laguna
619,Benfica U15
620,SC Leffe
621,Modena
622,Al-Ain
623,Darlington
624,Penafiel
625,Central Coast
626,Atl. Kolkata
627,FC Locomotive
628,América
629,Sant'Anna
630,Naestved IF
631,Clyde FC
632,Júbilo Iwata
633,Lech Poznan
634,Luceafărul Buc
635,Brann
636,Torino U19
637,União São João
638,Parma
639,Ravenna
640,Real Madrid U17
641,Volán SC
642,Jihlava
643,Real Madrid U18
644,Querétaro FC
645,Chelsea U18
646,M'gladbach U19
647,Emirates Club
648,Nagoya Grampus
649,Barmbek-U.
650,Hellenic FC
651,TeBe Berlin
652,B. Dortmund U17
653,St. Pat's
654,Salgueiros
655,Macclesfield
656,Haarlem
657,Atl. Nacional
658,Northampton
659,Dömsöd
660,R. Sociedad U19
661,Marseille U19
662,Alessandria
663,Seattle Sounders
664,Sydney Olympic
665,Molde FK
666,M'gladbach U17
667,Monaco U19
668,HJK Helsinki
669,Konyaspor
670,ASEC Mimosas B
671,KSK Beveren
672,SC V.-M. U19
673,SC V.-M. U17
674,Kashima Antlers
675,Instituto ACC
676,San Jose Clash
677,Yeovil Town
678,Jewish Guild
679,Kremser SC
680,M'gladbach Yth.
681,Sydney FC
682,Sevilla B
683,América-RJ
684,Sporting B
685,Scunthorpe Utd.
686,Chamois Niort
687,Toluca U20
688,Dijon
689,NK Zadar 
690,Montreal
691,Tottenham Yth.
692,E. Braunschweig
693,Wembley
694,Stuttg. Kickers
695,Skoda Plzen
696,Austria U17
697,Austria U19
698,Din. Zagreb U17
699,MYPA
700,FC Lahti
701,Dortmund Yth.
702,FC Sepsi-78
703,Le Havre U17
704,Hamburg U17
705,Telstar
706,Teplice
707,Diplomats
708,Barça Youth
709,US Cagliari
710,OGC Nice B
711,Torquay
712,FC Lugano
713,Port Vale
714,Kidderminster
715,PERSIB
716,Athletico-PR
717,Beira-Mar
718,Kerala Blasters
719,Hamburger SV II
720,SC Freiburg U19
721,ATK
722,Aston Villa U18
723,Pune City
724,B. Podgorica
725,Seattle
726,Avaí FC
727,SD Eibar
728,Atlante
729,DWS
730,York City
731,Peterborough
732,VfB Leipzig
733,River Plate II
734,AS Cannes U19
735,Atl. Madrid U19
736,Bangor City
737,Chesterfield FC
738,Vardar
739,Blacktown City
740,Liverpool U18
741,Pelita Jaya
742,FC Wacker
743,PEC Zwolle
744,Rotherham
745,Aachen U17 
746,Philadelphia Spartans
747,SW Bregenz
748,Aachen U19 
749,KSV Roeselare
750,Velox
751,Aachen Yth.
752,Shamrock Rovers
753,Dimitrovgrad
754,Philadelphia F.
755,Internapoli
756,Mainz 05 U17
757,Mieszko Gniezno
758,Exeter City
759,Vancouver 86ers
760,Chemnitz Yth.
761,A. Aachen II 
762,Angelana
763,JS Kabylie
764,Xerxes/DHC
765,Ohod Club
766,Hajduk U17
767,Mansfield Town
768,Ashington AFC
769,Sparta
770,Lecco
771,Mainz 05 U19
772,Sparta Brodnica
773,Furman Paladins
774,Mjällby AIF
775,Lubuszanin Drezdenko
776,Loko Sofia
777,SVA Bockum-H.
778,Eintracht Hamm
779,Ludwigs. SC U17
780,Eisenstadt
781,A. Klagenfurt
782,Shakhtar D.
783,Selangor FC
784,Heßler 06 Yth.
785,Chemie Halle
786,Goczalkowice
787,Volendam
788,Casino Baden
789,Vard
790,Man City U18
791,Sparta Praha
792,Paris-Neuilly
793,Zaglebie Lubin
794,Blois Foot 41
795,Volendam U19
796,PSV Klagenfurt
797,Cádiz CF
798,SV St. Veit
799,Leverkusen II
800,Dorchester
801,Nordstern BS
802,Rochester Rhinos
803,Alem. Aachen
804,Germ. Wiesbaden
805,Zwolsche Boys
806,CD Málaga
807,VfL Bochum U17
808,RFC Tilleur
809,SSV Buer Yth.
810,Massese
811,DS'79
812,Daring Club
813,London City
814,Lusitano FC
815,Gwarek U19
816,Ternana
817,Cisco Roma
818,CD Condal
819,VfL Bochum U19
820,St. Pauli U19
821,Corinthians U20
822,M. Petah Tikva
823,Norwich Yth.
824,Norwich U18
825,CZ Jena U17
826,FC Carl Zeiss Je
827,Ceará SC
828,XV de Jaú
829,Anderlecht U21
830,KS Samara
831,H. Beer Sheva
832,Las Palmas B
833,PAE Veria
834,Vyzas Megaron
835,M. Tel Aviv
836,HN Jianye
837,Standard U17
838,APOP Kinyras
